id,payment_number,payee_type,payee_name,payee_id,payment_date,amount,payment_mode_code,category_name,reference_no,notes,data_source
0f20ea58-306c-5ed4-ad27-23e14516ed37,SYN-PAY-2026-011,worker,SYN Fuel Depot,0236ae10-2de2-5762-8fdc-4517752735f3,2026-01-03,14798.99,upi,Fuel,PAY200011,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
06ec1abb-916a-50ca-8289-d4ad28819fb8,SYN-PAY-2026-012,worker,SYN Transport,504093d5-5f07-546a-b899-b6296a12f775,2026-02-25,9802.11,bank_transfer,Miscellaneous,PAY200012,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
0deaf1b4-f812-5b75-b40a-fbc177fef11e,SYN-PAY-2026-013,worker,SYN Transport,df1e04ff-1545-5482-b707-6c4580e253ea,2026-04-13,1663.62,bank_transfer,Labor,PAY200013,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
2a9ea9ce-b59a-5d76-abbe-1c7dc404122b,SYN-PAY-2026-014,other,SYN Mechanic,07be8232-adc8-5c36-a12c-b4f1f7cbe140,2026-02-18,6199.35,cash,Labor,PAY200014,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b8cc7e28-4342-5dc5-b428-86355855b3a6,SYN-PAY-2026-015,vendor,SYN Fuel Depot,7ebe5816-96ef-5532-bc54-66a1e724a8e8,2026-04-22,10926.86,upi,Miscellaneous,PAY200015,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d31647db-6c5b-5b83-bbd9-98c772607e70,SYN-PAY-2026-016,vendor,SYN Agro Shop,df1e04ff-1545-5482-b707-6c4580e253ea,2026-03-05,4496.92,bank_transfer,Fuel,PAY200016,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
740920c7-1ad1-5831-8799-ce899afb4acb,SYN-PAY-2026-017,vendor,SYN Transport,9b5d306a-d6b1-5d8c-af9b-4fa54d0a486e,2026-01-08,3488.18,cash,Fuel,PAY200017,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
55ed76bd-e30a-54cd-8ca8-afbf9526a073,SYN-PAY-2026-018,worker,SYN Seeds Store,3428fa0e-df40-59f5-b2b9-04e0e42cf6d7,2026-02-24,1141.43,upi,Labor,PAY200018,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b1bdf70c-cd48-53d9-8419-9232cba2dbdb,SYN-PAY-2026-019,other,SYN Agro Shop,3428fa0e-df40-59f5-b2b9-04e0e42cf6d7,2026-02-17,14905.51,cash,Maintenance,PAY200019,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
ac111f88-c076-5353-b4f2-76d282a2d134,SYN-PAY-2026-020,other,SYN Seeds Store,966fcfc3-4c99-5eeb-a829-c59b380206ac,2026-02-10,13205.75,bank_transfer,Labor,PAY200020,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
