id,payment_number,farmer_id,payment_type,payment_date,amount,payment_mode_code,reference_no,status,notes,data_source
7ce78d2f-d572-56e5-9ee2-c05be420729b,SYN-FPAY-2026-013,931f529a-503d-533c-bec3-adb440066644,advance,2026-01-20,19040.49,cash,UPI100013,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
e52210bd-97ed-52a0-a958-a0d628a69ed6,SYN-FPAY-2026-014,5ab7d3e2-e9cc-5859-bdbc-46f09de27fa8,advance,2026-06-17,7190.45,cash,UPI100014,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
f991c269-834b-5b64-9639-ba3ad3a84a27,SYN-FPAY-2026-015,24374f65-2e9d-5ebd-880d-31b313d58b99,advance,2026-04-11,18499.24,bank_transfer,UPI100015,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d8b1834b-e6c4-5dec-bdd9-5eb0017e11e0,SYN-FPAY-2026-016,fd7b88af-a07a-5185-8b8f-ef310c498b74,advance,2026-02-01,24183.93,upi,UPI100016,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
c6ad424c-2fa7-58ed-bd78-eb09a4be32a3,SYN-FPAY-2026-017,7b13273e-85cd-5a8d-b67c-44f706f6957e,final,2026-04-16,16962.39,upi,UPI100017,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
43b17d5a-0ac1-5681-bb8d-75f62bf25c8e,SYN-FPAY-2026-018,01213c68-e6ce-5141-84ed-04d7577bbec7,advance,2026-06-02,22882.55,bank_transfer,UPI100018,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
8ac127af-ed2a-5063-8512-2c4b167e4f71,SYN-FPAY-2026-019,24aff973-7678-5689-a9ed-67f64a577d80,advance,2026-02-18,18989.79,cash,UPI100019,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
ccc63e95-bbc2-5cca-92ea-12ee95478ed8,SYN-FPAY-2026-020,0423553d-c603-5259-85a2-df1e0b624403,final,2026-02-02,24934.95,upi,UPI100020,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
3ee14cc9-0d04-5fed-8eda-3b5dd2f62693,SYN-FPAY-2026-021,5249407a-5f5a-5e28-831a-a633e8ff7efa,advance,2026-06-28,23298.91,cash,UPI100021,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
ced1a9c2-8318-5a4e-8219-c9c502d3c56b,SYN-FPAY-2026-022,9febcfb4-314c-5159-89a9-f56738306649,final,2026-05-20,4467.92,upi,UPI100022,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
d844a767-245b-53c5-9e11-9770916fda00,SYN-FPAY-2026-023,23433e80-4b4d-5fc9-828c-d1237653f7e8,advance,2026-06-18,14059.33,bank_transfer,UPI100023,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
2bb147bb-11f1-5c19-a26d-cce431bac093,SYN-FPAY-2026-024,23433e80-4b4d-5fc9-828c-d1237653f7e8,final,2026-03-07,20602.72,cash,UPI100024,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
321d780b-750d-5687-9634-c655c4ffac21,SYN-FPAY-2026-025,a644c1da-b85e-589a-b228-ad30545a278e,advance,2026-04-21,7917.09,cash,UPI100025,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
3ea25dc7-701d-540e-a61a-0e16f669177a,SYN-FPAY-2026-026,1867c2f1-cf69-59b2-a42e-d546b2128fb4,adjustment,2026-03-26,8785.56,cash,UPI100026,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
10b129d4-af9b-5555-b643-fb9e85e1a391,SYN-FPAY-2026-027,5249407a-5f5a-5e28-831a-a633e8ff7efa,final,2026-05-28,16690.69,upi,UPI100027,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
c6f7acfb-91b0-5f70-ae48-7280763b9934,SYN-FPAY-2026-028,9e0bcbe3-5678-5b4b-a6a5-64520cb23ff4,advance,2026-03-03,11219.16,cash,UPI100028,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
187c7dbc-41a9-5adc-baf0-f1e6afd21f20,SYN-FPAY-2026-029,931f529a-503d-533c-bec3-adb440066644,advance,2026-04-11,23523.98,upi,UPI100029,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
b80f34ac-c8b3-5cb6-8b0b-43f870c0e0b4,SYN-FPAY-2026-030,b9a7b8f1-c7d2-59de-976e-c64fa2dbf2ef,final,2026-02-15,19336.40,upi,UPI100030,completed,SYNTHETIC_DATA — safe to delete before loading real production data,synthetic
